country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,150000,,40000,250000,510000,570000,590000,810000,420000,1100000,570000,990000,860000,450000,,1050000,,60000,460000,1490000,1020000,2810000,5440000,14700000,16700000,16000000,4840000,13000000,9090000,12400000,15300000,14800000,12200000,12500000,10300000,11500000,20600000,27500000,41900000,55700000,44200000,46400000,56200000,73900000,80100000,91700000,115000000,108000000,126000000,137000000,103000000,104000000,119000000,146000000,133000000
Sri Lanka,30000,40000,40000,80000,130000,280000,,260000,210000,100000,30000,1740000,780000,3360000,3800000,9330000,9030000,11700000,13700000,35400000,23100000,22700000,25200000,28300000,32300000,33300000,24000000,19900000,71800000,62900000,10600000,13400000,12100000,12000000,8510000,12400000,12500000,13900000,12900000,14300000,16700000,18300000,15000000,13500000,23000000,51700000,20600000,23100000,1550000,1830000,1110000,1290000,4780000,3790000,6370000,180000,2240000,2170000,2040000,2560000
